"ADM2_EN","Lat","Lon","country"
"Mubende",0.50403979285257,31.3790784472865,"UGA"
"Mukono",0.275595149524098,32.7735357316934,"UGA"
"Nabilatuk",2.0239695808696,34.503158530702,"UGA"
"Nakapiripirit",1.78100726023047,34.6079841676076,"UGA"
"Nakaseke",1.04872185522222,32.1692659289844,"UGA"
"Nakasongola",1.3519330731224,32.425646272528,"UGA"
"Namayingo",-0.317363071540781,33.8045746026783,"UGA"
"Namisindwa",0.876600804075013,34.3728435918876,"UGA"
"Namutumba",0.868653419695941,33.6817331371139,"UGA"
"Napak",2.3922277136282,34.2638088459712,"UGA"
"Nebbi",2.43022542597867,31.1774161292214,"UGA"
"Ngora",1.49634330967358,33.7544396888742,"UGA"
"Ntoroko",1.01047077962197,30.3631830201092,"UGA"
"Ntungamo",-0.942121783134586,30.2722426768486,"UGA"
"Nwoya",2.5284178731784,31.8374444573054,"UGA"
"Obongi",3.3919915369081,31.556833381393,"UGA"
"Omoro",2.66760191195364,32.4681650340513,"UGA"
"Otuke",2.47492873146553,33.3825637329149,"UGA"
"Oyam",2.37220572935822,32.4843674000166,"UGA"
"Pader",2.9293699123034,32.8675164157763,"UGA"
"Pakwach",2.49312147127429,31.3702381304565,"UGA"
"Pallisa",1.23145340141809,33.6753105703805,"UGA"
"Rakai",-0.707009202400446,31.3036616231725,"UGA"
"Rubanda",-1.17105980793804,29.8660205645385,"UGA"
"Rubirizi",-0.260218471827993,29.992400592544,"UGA"
"Rukiga",-1.15051739977413,30.0912563328607,"UGA"
"Rukungiri",-0.705908646234841,29.8890160790852,"UGA"
"Rwampara",-0.746372612078986,30.4934603667712,"UGA"
"Serere",1.48811357397225,33.3723515568081,"UGA"
"Sheema",-0.603638381409072,30.3266424095221,"UGA"
"Sironko",1.17158321291556,34.3187143847596,"UGA"
"Soroti",1.77107675996871,33.5909522833729,"UGA"
"Ssembabule",-0.0264561054702553,31.339884809214,"UGA"
"Tororo",0.724973369807782,34.0822455912454,"UGA"
"Wakiso",0.220381338087328,32.4460328579468,"UGA"
"Yumbe",3.52051800811507,31.2887245327125,"UGA"
"Zombo",2.51873707375689,30.8954349127993,"UGA"
