"ADM2_EN","Lat","Lon","iso"
"Tano North Municipal",7.17684747913438,-2.18544084513994,"GHA"
"Tano South Municipal",7.18202867820605,-1.99521784212745,"GHA"
"Tarkwa Nsuaem",5.15376866456794,-2.02272002833021,"GHA"
"Tatale Sanguli",9.21677414038786,0.431542890168904,"GHA"
"Techiman Municipal",7.53418024246006,-1.96383839763702,"GHA"
"Techiman North",7.69536142726848,-1.96724646403194,"GHA"
"Tema Metropolitan",5.64804374077324,-0.0112917299407346,"GHA"
"Tema West Municipal",5.65201083490594,-0.0643607431671536,"GHA"
"Tempane",10.914191685025,-0.0754970939337864,"GHA"
"Tolon",9.53776425289375,-1.18393171519389,"GHA"
"Twifo Atti-Morkwa",5.67537682440217,-1.5985178020536,"GHA"
"Twifo Hemang Lower Denkyira",5.38958148915175,-1.44265567747568,"GHA"
"Upper Denkyira East Municipal",5.86283812693479,-1.74226011215169,"GHA"
"Upper Denkyira West",6.10743814543776,-2.0228932866689,"GHA"
"Upper Manya",6.38866084168959,-0.134767279641294,"GHA"
"Upper West Akim",5.80028985699557,-0.559960289835118,"GHA"
"Wa East",10.0495038841887,-2.03625385742623,"GHA"
"Wa Municipal",10.0321194269413,-2.46437818414015,"GHA"
"Wa West",9.89262080110222,-2.64866250898971,"GHA"
"Wassa Amenfi Central",5.74179002851324,-2.28635234648137,"GHA"
"Wassa Amenfi East",5.83972120426036,-2.02150221346405,"GHA"
"Wassa Amenfi West",5.71684109622837,-2.46965955238595,"GHA"
"Wassa East",5.34834532958194,-1.66020452117746,"GHA"
"Weija Gbawe Municipal",5.54963749167529,-0.351315342036033,"GHA"
"Wenchi Municipal",7.78584967770908,-2.1026633690796,"GHA"
"West Akim",5.91726314536565,-0.693325869062311,"GHA"
"West Gonja",9.2253613011238,-1.8100764215811,"GHA"
"West Mamprusi Municipal",10.3259838755515,-0.833078173233163,"GHA"
"Yendi Municipal",9.45594881823978,0.04411813496219,"GHA"
"Yilo Krobo",6.17013115138635,-0.151294174110631,"GHA"
"Yunyoo-Nasuan",10.4324555959262,-0.0818933289322321,"GHA"
"Zabzugu",9.12837957184147,0.320816385565617,"GHA"
